FIPS,State,Area_name,Median_Income
1001,AL,Autauga,51868
1003,AL,Baldwin,47539
1005,AL,Barbour,30981
1007,AL,Bibb,39781
1009,AL,Blount,44392
1011,AL,Bullock,25937
1013,AL,Butler,31041
1015,AL,Calhoun,37898
1017,AL,Chambers,33883
1019,AL,Cherokee,37478
1021,AL,Chilton,41348
1023,AL,Choctaw,33581
1025,AL,Clarke,34593
1027,AL,Clay,33344
1029,AL,Cleburne,40407
1031,AL,Coffee,44666
1033,AL,Colbert,40032
1035,AL,Conecuh,27196
1037,AL,Coosa,35175
1039,AL,Covington,35187
1041,AL,Crenshaw,34105
1043,AL,Cullman,40142
1045,AL,Dale,41805
1047,AL,Dallas,27524
1049,AL,DeKalb,36713
1051,AL,Elmore,51650
1053,AL,Escambia,33455
1055,AL,Etowah,38587
1057,AL,Fayette,35661
1059,AL,Franklin,33332
1061,AL,Geneva,35378
1063,AL,Greene,25864
1065,AL,Hale,33597
1067,AL,Henry,41590
1069,AL,Houston,39636
1071,AL,Jackson,37204
1073,AL,Jefferson,45024
1075,AL,Lamar,36475
1077,AL,Lauderdale,43586
1079,AL,Lawrence,40713
1081,AL,Lee,44647
1083,AL,Limestone,50148
1085,AL,Lowndes,29734
1087,AL,Macon,29228
1089,AL,Madison,58258
1091,AL,Marengo,33749
1093,AL,Marion,34162
1095,AL,Marshall,38399
1097,AL,Mobile,42278
1099,AL,Monroe,32696
1101,AL,Montgomery,44013
1103,AL,Morgan,44079
1105,AL,Perry,25461
1107,AL,Pickens,32314
1109,AL,Pike,35944
1111,AL,Randolph,35121
1113,AL,Russell,35762
1115,AL,St. Clair,52437
1117,AL,Shelby,68718
1119,AL,Sumter,24504
1121,AL,Talladega,38505
1123,AL,Tallapoosa,37747
1125,AL,Tuscaloosa,45959
1127,AL,Walker,37193
1129,AL,Washington,41115
1131,AL,Wilcox,23184
1133,AL,Winston,33578
2013,AK,Aleutians East Borough,56856
2016,AK,Aleutians West Census Area,74088
2020,AK,Anchorage Borough/municipality,76362
2050,AK,Bethel Census Area,42876
