,dt,Month,Year,Month-Year,county_name,state_id,AverageTemperature
1,1/1/1900,1,2011,1-2011,Aiken,SC,6.04
2,1/1/1900,1,2011,1-2011,Alachua,FL,10.258
3,1/1/1900,1,2011,1-2011,Alameda,CA,9.359
4,1/1/1900,1,2011,1-2011,Alexandria,VA,-1.709
5,1/1/1900,1,2011,1-2011,Allamakee,IA,-6.251
6,1/1/1900,1,2011,1-2011,Allen,IN,-3.704
7,1/1/1900,1,2011,1-2011,Arlington,VA,-1.709
8,1/1/1900,1,2011,1-2011,Baltimore,MD,-1.709
9,1/1/1900,1,2011,1-2011,Bartholomew,IN,-3.164
10,1/1/1900,1,2011,1-2011,Bell,TX,6.988
11,1/1/1900,1,2011,1-2011,Bennington,VT,-6.772
12,1/1/1900,1,2011,1-2011,Bernalillo,NM,-0.419
13,1/1/1900,1,2011,1-2011,Bingham,ID,-8.084
14,1/1/1900,1,2011,1-2011,Bon Homme,SD,-6.772
15,1/1/1900,1,2011,1-2011,Butts,GA,6.04
16,1/1/1900,1,2011,1-2011,Campbell,KY,-2.4365
17,1/1/1900,1,2011,1-2011,Cass,NE,-5.643
18,1/1/1900,1,2011,1-2011,Cedar,MO,9.359
19,1/1/1900,1,2011,1-2011,Charleston,SC,7.989
20,1/1/1900,1,2011,1-2011,Clark,NV,6.966
21,1/1/1900,1,2011,1-2011,Clark,WA,4.874
22,1/1/1900,1,2011,1-2011,Cleveland,OK,3.395
23,1/1/1900,1,2011,1-2011,Cloud,KS,-2.604
24,1/1/1900,1,2011,1-2011,Collin,TX,5.417
25,1/1/1900,1,2011,1-2011,Contra Costa,CA,7.19
26,1/1/1900,1,2011,1-2011,Cumberland,NC,3.823
27,1/1/1900,1,2011,1-2011,Cuyahoga,OH,-4.976
28,1/1/1900,1,2011,1-2011,Dallas,TX,5.417
29,1/1/1900,1,2011,1-2011,Dane,WI,-7.1485
30,1/1/1900,1,2011,1-2011,Davidson,TN,1.146
31,1/1/1900,1,2011,1-2011,Daviess,IN,-1.709
32,1/1/1900,1,2011,1-2011,Dearborn,IN,-2.604
33,1/1/1900,1,2011,1-2011,Denton,TX,5.417
34,1/1/1900,1,2011,1-2011,District of Columbia,DC,-1.709
35,1/1/1900,1,2011,1-2011,Dodge,WI,-6.772
36,1/1/1900,1,2011,1-2011,Douglas,NE,-7.422
37,1/1/1900,1,2011,1-2011,Durham,NC,2.105
38,1/1/1900,1,2011,1-2011,Duval,FL,12.725
39,1/1/1900,1,2011,1-2011,East Baton Rouge,LA,10.056
40,1/1/1900,1,2011,1-2011,El Paso,CO,-2.604
41,1/1/1900,1,2011,1-2011,Erie,NY,-6.208
42,1/1/1900,1,2011,1-2011,Essex,NJ,-4.463
43,1/1/1900,1,2011,1-2011,Fairfax,VA,-4.112
44,1/1/1900,1,2011,1-2011,Fairfield,CT,-3.114
45,1/1/1900,1,2011,1-2011,Floyd,IA,-8.084
46,1/1/1900,1,2011,1-2011,Franklin,KS,5.021
47,1/1/1900,1,2011,1-2011,Franklin,MO,-1.709
48,1/1/1900,1,2011,1-2011,Fulton,IN,-4.976
49,1/1/1900,1,2011,1-2011,Genesee,MI,-6.213
50,1/1/1900,1,2011,1-2011,Guilford,NC,2.105
51,1/1/1900,1,2011,1-2011,Hall,TX,3.531
52,1/1/1900,1,2011,1-2011,Hamilton,NE,-5.688
53,1/1/1900,1,2011,1-2011,Hamilton,OH,-3.725
54,1/1/1900,1,2011,1-2011,Hamilton,TN,2.595
55,1/1/1900,1,2011,1-2011,Hampshire,WV,-4.112
56,1/1/1900,1,2011,1-2011,Harris,TX,10.303
57,1/1/1900,1,2011,1-2011,Hillsborough,FL,14.502
58,1/1/1900,1,2011,1-2011,Hillsborough,NH,-6.772
59,1/1/1900,1,2011,1-2011,Hudson,NJ,-4.463
60,1/1/1900,1,2011,1-2011,Ingham,MI,-6.251
61,1/1/1900,1,2011,1-2011,Jackson,MO,-4.759
62,1/1/1900,1,2011,1-2011,Jefferson,KY,-1.056
63,1/1/1900,1,2011,1-2011,Jefferson,LA,10.056
64,1/1/1900,1,2011,1-2011,Jefferson,TX,10.059
65,1/1/1900,1,2011,1-2011,Jefferson,WI,-6.772
66,1/1/1900,1,2011,1-2011,Johnson,KS,-4.8105
67,1/1/1900,1,2011,1-2011,Kent,MI,-7.035666667
68,1/1/1900,1,2011,1-2011,Kenton,KY,-4.759
69,1/1/1900,1,2011,1-2011,Knox,TN,0.411
70,1/1/1900,1,2011,1-2011,Lafayette,LA,10.331
71,1/1/1900,1,2011,1-2011,Lancaster,NE,-7.422
72,1/1/1900,1,2011,1-2011,Lancaster,SC,10.432
73,1/1/1900,1,2011,1-2011,Lane,OR,4.761
74,1/1/1900,1,2011,1-2011,Larimer,CO,-2.529
75,1/1/1900,1,2011,1-2011,Lee,FL,17.513
76,1/1/1900,1,2011,1-2011,Lehigh,PA,-4.463
77,1/1/1900,1,2011,1-2011,Leon,FL,9.966
78,1/1/1900,1,2011,1-2011,Lincoln,TN,3.823
79,1/1/1900,1,2011,1-2011,Los Angeles,CA,10.432
80,1/1/1900,1,2011,1-2011,Lyon,NV,-3.164
81,1/1/1900,1,2011,1-2011,Macomb,MI,-6.213
82,1/1/1900,1,2011,1-2011,Madison,AL,2.595
83,1/1/1900,1,2011,1-2011,Madison,KY,5.021
84,1/1/1900,1,2011,1-2011,Madison,NY,-8.084
85,1/1/1900,1,2011,1-2011,Maricopa,AZ,9.6458
86,1/1/1900,1,2011,1-2011,McCook,SD,4.761
87,1/1/1900,1,2011,1-2011,Mecklenburg,NC,3.735
88,1/1/1900,1,2011,1-2011,Middlesex,MA,-6.772
89,1/1/1900,1,2011,1-2011,Miller,AR,5.417
90,1/1/1900,1,2011,1-2011,Milwaukee,WI,-1.582
91,1/1/1900,1,2011,1-2011,Minnehaha,SD,-12.993
92,1/1/1900,1,2011,1-2011,Mobile,AL,7.525
93,1/1/1900,1,2011,1-2011,Monroe,NY,-6.208
94,1/1/1900,1,2011,1-2011,Montrose,CO,-4.862
95,1/1/1900,1,2011,1-2011,Morrow,OH,-4.463
96,1/1/1900,1,2011,1-2011,Multnomah,OR,4.874
97,1/1/1900,1,2011,1-2011,Muscogee,GA,4.861
98,1/1/1900,1,2011,1-2011,Nash,NC,1.146
99,1/1/1900,1,2011,1-2011,Nelson,KY,9.359
100,1/1/1900,1,2011,1-2011,Nevada,CA,-1.709
101,1/1/1900,1,2011,1-2011,New Haven,CT,-1.765
102,1/1/1900,1,2011,1-2011,New York,NY,-4.463
103,1/1/1900,1,2011,1-2011,Nueces,TX,12.533
104,1/1/1900,1,2011,1-2011,Oakland,MI,-6.208
105,1/1/1900,1,2011,1-2011,Onondaga,NY,-6.134
106,1/1/1900,1,2011,1-2011,Ontario,NY,-6.772
107,1/1/1900,1,2011,1-2011,Orange,FL,15.383
108,1/1/1900,1,2011,1-2011,Orleans,LA,10.056
109,1/1/1900,1,2011,1-2011,Passaic,NJ,-4.463
110,1/1/1900,1,2011,1-2011,Peoria,IL,-6.311
111,1/1/1900,1,2011,1-2011,Pickens,AL,5.417
112,1/1/1900,1,2011,1-2011,Pierce,WA,2.279
113,1/1/1900,1,2011,1-2011,Pinellas,FL,14.502
114,1/1/1900,1,2011,1-2011,Placer,CA,4.763
115,1/1/1900,1,2011,1-2011,Portage,OH,-5.688
116,1/1/1900,1,2011,1-2011,Potter,TX,3.071
117,1/1/1900,1,2011,1-2011,Preston,WV,-2.604
118,1/1/1900,1,2011,1-2011,Pueblo,CO,-1.661
119,1/1/1900,1,2011,1-2011,Pulaski,AR,3.958
120,1/1/1900,1,2011,1-2011,Racine,WI,-6.208
121,1/1/1900,1,2011,1-2011,Randolph,IL,-1.06
122,1/1/1900,1,2011,1-2011,Rappahannock,VA,-1.709
123,1/1/1900,1,2011,1-2011,Richmond,NC,3.395
124,1/1/1900,1,2011,1-2011,Richmond,VA,5.021
125,1/1/1900,1,2011,1-2011,Salt Lake,UT,-2.279
126,1/1/1900,1,2011,1-2011,San Diego,CA,14.786
127,1/1/1900,1,2011,1-2011,San Francisco,CA,9.359
128,1/1/1900,1,2011,1-2011,San Joaquin,CA,9.359
129,1/1/1900,1,2011,1-2011,San Miguel,NM,6.966
130,1/1/1900,1,2011,1-2011,Santa Cruz,AZ,9.461
131,1/1/1900,1,2011,1-2011,Sedgwick,KS,-1.715
132,1/1/1900,1,2011,1-2011,Sevier,UT,-2.604
133,1/1/1900,1,2011,1-2011,Shawnee,KS,-4.862
134,1/1/1900,1,2011,1-2011,Shelby,TN,3.531
135,1/1/1900,1,2011,1-2011,Solano,CA,9.359
136,1/1/1900,1,2011,1-2011,Sonoma,CA,9.359
137,1/1/1900,1,2011,1-2011,Spartanburg,SC,10.432
138,1/1/1900,1,2011,1-2011,Stanislaus,CA,4.956
139,1/1/1900,1,2011,1-2011,Strafford,NH,-6.208
140,1/1/1900,1,2011,1-2011,Summit,OH,-4.976
141,1/1/1900,1,2011,1-2011,Tarrant,TX,5.417
142,1/1/1900,1,2011,1-2011,Travis,TX,9.547
143,1/1/1900,1,2011,1-2011,Tulare,CA,7.169
144,1/1/1900,1,2011,1-2011,Tulsa,OK,1.204
145,1/1/1900,1,2011,1-2011,Union,NJ,-4.463
146,1/1/1900,1,2011,1-2011,Vance,NC,6.966
147,1/1/1900,1,2011,1-2011,Vanderburgh,IN,-1.06
148,1/1/1900,1,2011,1-2011,Wake,NC,2.105
149,1/1/1900,1,2011,1-2011,Walworth,WI,-6.772
150,1/1/1900,1,2011,1-2011,Warren,IA,-1.765
151,1/1/1900,1,2011,1-2011,Washington,KY,-1.588
152,1/1/1900,1,2011,1-2011,Washington,NY,-6.772
153,1/1/1900,1,2011,1-2011,Washington,OH,4.763
154,1/1/1900,1,2011,1-2011,Wayne,IL,9.359
155,1/1/1900,1,2011,1-2011,Wayne,UT,9.359
156,1/1/1900,1,2011,1-2011,Webb,TX,12.239
157,1/1/1900,1,2011,1-2011,Westchester,NY,-4.463
158,1/1/1900,1,2011,1-2011,Wood,WV,-1.709
