FIPS,State,Area_name,Year,Unemployment_rate
00000,US,United States,2010,9.6
01000,AL,Alabama,2010,10.5
01001,AL,Autauga,2010,8.9
01003,AL,Baldwin,2010,10.0
01005,AL,Barbour,2010,12.3
01007,AL,Bibb,2010,11.4
01009,AL,Blount,2010,9.8
01011,AL,Bullock,2010,11.8
01013,AL,Butler,2010,13.6
01015,AL,Calhoun,2010,11.4
01017,AL,Chambers,2010,14.9
01019,AL,Cherokee,2010,10.6
01021,AL,Chilton,2010,10.3
01023,AL,Choctaw,2010,13.3
01025,AL,Clarke,2010,19.9
01027,AL,Clay,2010,14.5
01029,AL,Cleburne,2010,10.0
01031,AL,Coffee,2010,8.6
01033,AL,Colbert,2010,11.5
01035,AL,Conecuh,2010,17.2
01037,AL,Coosa,2010,15.4
01039,AL,Covington,2010,10.3
01041,AL,Crenshaw,2010,10.2
01043,AL,Cullman,2010,10.4
01045,AL,Dale,2010,8.8
01047,AL,Dallas,2010,16.9
01049,AL,DeKalb,2010,12.7
01051,AL,Elmore,2010,9.1
01053,AL,Escambia,2010,11.8
01055,AL,Etowah,2010,10.9
01057,AL,Fayette,2010,13.0
01059,AL,Franklin,2010,10.7
01061,AL,Geneva,2010,10.4
01063,AL,Greene,2010,17.3
01065,AL,Hale,2010,15.1
01067,AL,Henry,2010,10.9
01069,AL,Houston,2010,9.1
01071,AL,Jackson,2010,11.8
01073,AL,Jefferson,2010,10.3
01075,AL,Lamar,2010,13.2
01077,AL,Lauderdale,2010,10.1
01079,AL,Lawrence,2010,12.6
01081,AL,Lee,2010,9.0
01083,AL,Limestone,2010,9.6
01085,AL,Lowndes,2010,18.5
01087,AL,Macon,2010,14.8
01089,AL,Madison,2010,8.3
01091,AL,Marengo,2010,13.7
01093,AL,Marion,2010,13.6
01095,AL,Marshall,2010,9.6
01097,AL,Mobile,2010,11.3
01099,AL,Monroe,2010,18.1
01101,AL,Montgomery,2010,10.0
01103,AL,Morgan,2010,10.8
01105,AL,Perry,2010,16.8
01107,AL,Pickens,2010,13.1
01109,AL,Pike,2010,9.4
01111,AL,Randolph,2010,13.4
01113,AL,Russell,2010,10.9
01115,AL,St. Clair,2010,10.1
01117,AL,Shelby,2010,7.1
01119,AL,Sumter,2010,13.3
01121,AL,Talladega,2010,13.5
01123,AL,Tallapoosa,2010,13.1
01125,AL,Tuscaloosa,2010,9.2
01127,AL,Walker,2010,12.7
01129,AL,Washington,2010,14.2
01131,AL,Wilcox,2010,26.3
01133,AL,Winston,2010,16.0
02000,AK,Alaska,2010,7.9
02013,AK,Aleutians East Borough,2010,5.6
02016,AK,Aleutians West Census Area,2010,5.1
02020,AK,Anchorage Borough/municipality,2010,6.6
02050,AK,Bethel Census Area,2010,14.6
02060,AK,Bristol Bay Borough,2010,9.7
02068,AK,Denali Borough,2010,11.9
02070,AK,Dillingham Census Area,2010,10.1
02090,AK,Fairbanks North Star Borough,2010,6.6
02100,AK,Haines Borough,2010,10.6
02105,AK,Hoonah-Angoon Census Area,2010,14.0
02110,AK,Juneau Borough/city,2010,5.9
02122,AK,Kenai Peninsula Borough,2010,10.0
02130,AK,Ketchikan Gateway Borough,2010,8.7
02150,AK,Kodiak Island Borough,2010,7.4
02158,AK,Kusilvak Census Area,2010,20.4
02164,AK,Lake and Peninsula Borough,2010,14.4
02170,AK,Matanuska-Susitna Borough,2010,9.4
02180,AK,Nome Census Area,2010,12.6
02185,AK,North Slope Borough,2010,8.0
02188,AK,Northwest Arctic Borough,2010,13.4
02195,AK,Petersburg Borough,2010,7.9
02198,AK,Prince of Wales-Hyder Census Area,2010,10.5
02220,AK,Sitka Borough/city,2010,6.3
02230,AK,Skagway Municipality,2010,14.5
02240,AK,Southeast Fairbanks Census Area,2010,11.9
02261,AK,Valdez-Cordova Census Area,2010,9.4
02275,AK,Wrangell Borough/city,2010,8.0
02282,AK,Yakutat Borough/city,2010,10.8
02290,AK,Yukon-Koyukuk Census Area,2010,17.2
04000,AZ,Arizona,2010,10.4
04001,AZ,Apache,2010,16.4
04003,AZ,Cochise,2010,9.3
04005,AZ,Coconino,2010,9.9
04007,AZ,Gila,2010,12.5
04009,AZ,Graham,2010,12.9
04011,AZ,Greenlee,2010,16.4
04012,AZ,La Paz,2010,10.2
04013,AZ,Maricopa,2010,9.5
04015,AZ,Mohave,2010,13.0
04017,AZ,Navajo,2010,14.7
04019,AZ,Pima,2010,9.3
04021,AZ,Pinal,2010,10.7
04023,AZ,Santa Cruz,2010,15.2
04025,AZ,Yavapai,2010,10.7
